Datacenter,Rack,Server,Interface,MAC Address,Type,Description
DC-Center,CENT-R01,CENT-SRV-008,ens1f0,3C:FD:FE:C8:02:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-Center,CENT-R01,CENT-SRV-008,ens2f0,3C:FD:FE:C8:02:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-Center,CENT-R01,CENT-SRV-008,mgmt0,A0:36:9F:B0:06:00,1000base-t,Management Interface (PCI Card)
DC-Center,CENT-R01,CENT-SRV-009,bmc,A0:36:9F:C9:02:00,1000base-t,BMC Management Interface
DC-Center,CENT-R01,CENT-SRV-009,ens1f0,3C:FD:FE:C9:02:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-Center,CENT-R01,CENT-SRV-009,ens2f0,3C:FD:FE:C9:02:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-Center,CENT-R01,CENT-SRV-009,mgmt0,A0:36:9F:B1:06:00,1000base-t,Management Interface (PCI Card)
DC-Center,CENT-R01,CENT-SRV-010,bmc,A0:36:9F:CA:02:00,1000base-t,BMC Management Interface
DC-Center,CENT-R01,CENT-SRV-010,ens1f0,3C:FD:FE:CA:02:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-Center,CENT-R01,CENT-SRV-010,ens2f0,3C:FD:FE:CA:02:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-Center,CENT-R01,CENT-SRV-010,mgmt0,A0:36:9F:B2:06:00,1000base-t,Management Interface (PCI Card)
DC-Center,CENT-R01,CENT-SRV-011,bmc,A0:36:9F:CB:02:00,1000base-t,BMC Management Interface
DC-Center,CENT-R01,CENT-SRV-011,ens1f0,3C:FD:FE:CB:02:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-Center,CENT-R01,CENT-SRV-011,ens2f0,3C:FD:FE:CB:02:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-Center,CENT-R01,CENT-SRV-011,mgmt0,A0:36:9F:B3:06:00,1000base-t,Management Interface (PCI Card)
DC-Center,CENT-R01,CENT-SRV-012,bmc,A0:36:9F:CC:02:00,1000base-t,BMC Management Interface
DC-Center,CENT-R01,CENT-SRV-012,ens1f0,3C:FD:FE:CC:02:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-Center,CENT-R01,CENT-SRV-012,ens2f0,3C:FD:FE:CC:02:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-Center,CENT-R01,CENT-SRV-012,mgmt0,A0:36:9F:B4:06:00,1000base-t,Management Interface (PCI Card)
DC-Center,CENT-R01,CENT-SRV-013,bmc,A0:36:9F:CD:02:00,1000base-t,BMC Management Interface
DC-Center,CENT-R01,CENT-SRV-013,ens1f0,3C:FD:FE:CD:02:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-Center,CENT-R01,CENT-SRV-013,ens2f0,3C:FD:FE:CD:02:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-Center,CENT-R01,CENT-SRV-013,mgmt0,A0:36:9F:B5:06:00,1000base-t,Management Interface (PCI Card)
DC-Center,CENT-R01,CENT-SRV-014,bmc,A0:36:9F:CE:02:00,1000base-t,BMC Management Interface
DC-Center,CENT-R01,CENT-SRV-014,ens1f0,3C:FD:FE:CE:02:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-Center,CENT-R01,CENT-SRV-014,ens2f0,3C:FD:FE:CE:02:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-Center,CENT-R01,CENT-SRV-014,mgmt0,A0:36:9F:B6:06:00,1000base-t,Management Interface (PCI Card)
DC-Center,CENT-R01,CENT-SRV-015,bmc,A0:36:9F:CF:02:00,1000base-t,BMC Management Interface
DC-Center,CENT-R01,CENT-SRV-015,ens1f0,3C:FD:FE:CF:02:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-Center,CENT-R01,CENT-SRV-015,ens2f0,3C:FD:FE:CF:02:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-Center,CENT-R01,CENT-SRV-015,mgmt0,A0:36:9F:B7:06:00,1000base-t,Management Interface (PCI Card)
DC-Center,CENT-R01,CENT-SRV-016,bmc,A0:36:9F:D0:02:00,1000base-t,BMC Management Interface
DC-Center,CENT-R01,CENT-SRV-016,ens1f0,3C:FD:FE:D0:02:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-Center,CENT-R01,CENT-SRV-016,ens2f0,3C:FD:FE:D0:02:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-Center,CENT-R01,CENT-SRV-016,mgmt0,A0:36:9F:B8:06:00,1000base-t,Management Interface (PCI Card)
DC-Center,CENT-R01,CENT-SRV-017,bmc,A0:36:9F:D1:02:00,1000base-t,BMC Management Interface
DC-Center,CENT-R01,CENT-SRV-017,ens1f0,3C:FD:FE:D1:02:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-Center,CENT-R01,CENT-SRV-017,ens2f0,3C:FD:FE:D1:02:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-Center,CENT-R01,CENT-SRV-017,mgmt0,A0:36:9F:B9:06:00,1000base-t,Management Interface (PCI Card)
DC-Center,CENT-R02,CENT-SRV-018,bmc,A0:36:9F:D7:02:00,1000base-t,BMC Management Interface
DC-Center,CENT-R02,CENT-SRV-018,ens1f0,3C:FD:FE:D7:02:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-Center,CENT-R02,CENT-SRV-018,ens2f0,3C:FD:FE:D7:02:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-Center,CENT-R02,CENT-SRV-018,mgmt0,A0:36:9F:BF:06:00,1000base-t,Management Interface (PCI Card)
DC-Center,CENT-R02,CENT-SRV-019,bmc,A0:36:9F:D8:02:00,1000base-t,BMC Management Interface
DC-Center,CENT-R02,CENT-SRV-019,ens1f0,3C:FD:FE:D8:02:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-Center,CENT-R02,CENT-SRV-019,ens2f0,3C:FD:FE:D8:02:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-Center,CENT-R02,CENT-SRV-019,mgmt0,A0:36:9F:C0:06:00,1000base-t,Management Interface (PCI Card)
DC-Center,CENT-R02,CENT-SRV-020,bmc,A0:36:9F:D9:02:00,1000base-t,BMC Management Interface
DC-Center,CENT-R02,CENT-SRV-020,ens1f0,3C:FD:FE:D9:02:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-Center,CENT-R02,CENT-SRV-020,ens2f0,3C:FD:FE:D9:02:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-Center,CENT-R02,CENT-SRV-020,mgmt0,A0:36:9F:C1:06:00,1000base-t,Management Interface (PCI Card)
DC-Center,CENT-R02,CENT-SRV-021,bmc,A0:36:9F:DA:02:00,1000base-t,BMC Management Interface
DC-Center,CENT-R02,CENT-SRV-021,ens1f0,3C:FD:FE:DA:02:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-Center,CENT-R02,CENT-SRV-021,ens2f0,3C:FD:FE:DA:02:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-Center,CENT-R02,CENT-SRV-021,mgmt0,A0:36:9F:C2:06:00,1000base-t,Management Interface (PCI Card)
DC-Center,CENT-R02,CENT-SRV-022,bmc,A0:36:9F:DB:02:00,1000base-t,BMC Management Interface
DC-Center,CENT-R02,CENT-SRV-022,ens1f0,3C:FD:FE:DB:02:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-Center,CENT-R02,CENT-SRV-022,ens2f0,3C:FD:FE:DB:02:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-Center,CENT-R02,CENT-SRV-022,mgmt0,A0:36:9F:C3:06:00,1000base-t,Management Interface (PCI Card)
DC-Center,CENT-R02,CENT-SRV-023,bmc,A0:36:9F:DC:02:00,1000base-t,BMC Management Interface
DC-Center,CENT-R02,CENT-SRV-023,ens1f0,3C:FD:FE:DC:02:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-Center,CENT-R02,CENT-SRV-023,ens2f0,3C:FD:FE:DC:02:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-Center,CENT-R02,CENT-SRV-023,mgmt0,A0:36:9F:C4:06:00,1000base-t,Management Interface (PCI Card)
DC-Center,CENT-R02,CENT-SRV-024,bmc,A0:36:9F:DD:02:00,1000base-t,BMC Management Interface
DC-Center,CENT-R02,CENT-SRV-024,ens1f0,3C:FD:FE:DD:02:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-Center,CENT-R02,CENT-SRV-024,ens2f0,3C:FD:FE:DD:02:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-Center,CENT-R02,CENT-SRV-024,mgmt0,A0:36:9F:C5:06:00,1000base-t,Management Interface (PCI Card)
DC-Center,CENT-R02,CENT-SRV-025,bmc,A0:36:9F:DE:02:00,1000base-t,BMC Management Interface
DC-Center,CENT-R02,CENT-SRV-025,ens1f0,3C:FD:FE:DE:02:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-Center,CENT-R02,CENT-SRV-025,ens2f0,3C:FD:FE:DE:02:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-Center,CENT-R02,CENT-SRV-025,mgmt0,A0:36:9F:C6:06:00,1000base-t,Management Interface (PCI Card)
DC-Center,CENT-R02,CENT-SRV-026,bmc,A0:36:9F:DF:02:00,1000base-t,BMC Management Interface
DC-Center,CENT-R02,CENT-SRV-026,ens1f0,3C:FD:FE:DF:02:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-Center,CENT-R02,CENT-SRV-026,ens2f0,3C:FD:FE:DF:02:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-Center,CENT-R02,CENT-SRV-026,mgmt0,A0:36:9F:C7:06:00,1000base-t,Management Interface (PCI Card)
DC-Center,CENT-R02,CENT-SRV-027,bmc,A0:36:9F:E0:02:00,1000base-t,BMC Management Interface
DC-Center,CENT-R02,CENT-SRV-027,ens1f0,3C:FD:FE:E0:02:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-Center,CENT-R02,CENT-SRV-027,ens2f0,3C:FD:FE:E0:02:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-Center,CENT-R02,CENT-SRV-027,mgmt0,A0:36:9F:C8:06:00,1000base-t,Management Interface (PCI Card)
DC-Center,CENT-R02,CENT-SRV-028,bmc,A0:36:9F:E1:02:00,1000base-t,BMC Management Interface
DC-Center,CENT-R02,CENT-SRV-028,ens1f0,3C:FD:FE:E1:02:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-Center,CENT-R02,CENT-SRV-028,ens2f0,3C:FD:FE:E1:02:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-Center,CENT-R02,CENT-SRV-028,mgmt0,A0:36:9F:C9:06:00,1000base-t,Management Interface (PCI Card)
DC-Center,CENT-R02,CENT-SRV-029,bmc,A0:36:9F:E2:02:00,1000base-t,BMC Management Interface
DC-Center,CENT-R02,CENT-SRV-029,ens1f0,3C:FD:FE:E2:02:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-Center,CENT-R02,CENT-SRV-029,ens2f0,3C:FD:FE:E2:02:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-Center,CENT-R02,CENT-SRV-029,mgmt0,A0:36:9F:CA:06:00,1000base-t,Management Interface (PCI Card)
DC-Center,CENT-R02,CENT-SRV-030,bmc,A0:36:9F:E3:02:00,1000base-t,BMC Management Interface
DC-Center,CENT-R02,CENT-SRV-030,ens1f0,3C:FD:FE:E3:02:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-Center,CENT-R02,CENT-SRV-030,ens2f0,3C:FD:FE:E3:02:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-Center,CENT-R02,CENT-SRV-030,mgmt0,A0:36:9F:CB:06:00,1000base-t,Management Interface (PCI Card)
DC-Center,CENT-R02,CENT-SRV-031,bmc,A0:36:9F:E4:02:00,1000base-t,BMC Management Interface
DC-Center,CENT-R02,CENT-SRV-031,ens1f0,3C:FD:FE:E4:02:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-Center,CENT-R02,CENT-SRV-031,ens2f0,3C:FD:FE:E4:02:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-Center,CENT-R02,CENT-SRV-031,mgmt0,A0:36:9F:CC:06:00,1000base-t,Management Interface (PCI Card)
DC-Center,CENT-R02,CENT-SRV-032,bmc,A0:36:9F:E5:02:00,1000base-t,BMC Management Interface
DC-Center,CENT-R02,CENT-SRV-032,ens1f0,3C:FD:FE:E5:02:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-Center,CENT-R02,CENT-SRV-032,ens2f0,3C:FD:FE:E5:02:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-Center,CENT-R02,CENT-SRV-032,mgmt0,A0:36:9F:CD:06:00,1000base-t,Management Interface (PCI Card)
DC-Center,CENT-R02,CENT-SRV-033,bmc,A0:36:9F:E6:02:00,1000base-t,BMC Management Interface
DC-Center,CENT-R02,CENT-SRV-033,ens1f0,3C:FD:FE:E6:02:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-Center,CENT-R02,CENT-SRV-033,ens2f0,3C:FD:FE:E6:02:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-Center,CENT-R02,CENT-SRV-033,mgmt0,A0:36:9F:CE:06:00,1000base-t,Management Interface (PCI Card)
DC-Center,CENT-R02,CENT-SRV-034,bmc,A0:36:9F:E7:02:00,1000base-t,BMC Management Interface
DC-Center,CENT-R02,CENT-SRV-034,ens1f0,3C:FD:FE:E7:02:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-Center,CENT-R02,CENT-SRV-034,ens2f0,3C:FD:FE:E7:02:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-Center,CENT-R02,CENT-SRV-034,mgmt0,A0:36:9F:CF:06:00,1000base-t,Management Interface (PCI Card)
DC-Center,CENT-R03,CENT-SRV-035,bmc,A0:36:9F:ED:02:00,1000base-t,BMC Management Interface
DC-Center,CENT-R03,CENT-SRV-035,ens1f0,3C:FD:FE:ED:02:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-Center,CENT-R03,CENT-SRV-035,ens2f0,3C:FD:FE:ED:02:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-Center,CENT-R03,CENT-SRV-035,mgmt0,A0:36:9F:D5:06:00,1000base-t,Management Interface (PCI Card)
DC-Center,CENT-R03,CENT-SRV-036,bmc,A0:36:9F:EE:02:00,1000base-t,BMC Management Interface
DC-Center,CENT-R03,CENT-SRV-036,ens1f0,3C:FD:FE:EE:02:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-Center,CENT-R03,CENT-SRV-036,ens2f0,3C:FD:FE:EE:02:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-Center,CENT-R03,CENT-SRV-036,mgmt0,A0:36:9F:D6:06:00,1000base-t,Management Interface (PCI Card)
DC-Center,CENT-R03,CENT-SRV-037,bmc,A0:36:9F:EF:02:00,1000base-t,BMC Management Interface
DC-Center,CENT-R03,CENT-SRV-037,ens1f0,3C:FD:FE:EF:02:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-Center,CENT-R03,CENT-SRV-037,ens2f0,3C:FD:FE:EF:02:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-Center,CENT-R03,CENT-SRV-037,mgmt0,A0:36:9F:D7:06:00,1000base-t,Management Interface (PCI Card)
DC-Center,CENT-R03,CENT-SRV-038,bmc,A0:36:9F:F0:02:00,1000base-t,BMC Management Interface
DC-Center,CENT-R03,CENT-SRV-038,ens1f0,3C:FD:FE:F0:02:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-Center,CENT-R03,CENT-SRV-038,ens2f0,3C:FD:FE:F0:02:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-Center,CENT-R03,CENT-SRV-038,mgmt0,A0:36:9F:D8:06:00,1000base-t,Management Interface (PCI Card)
DC-Center,CENT-R03,CENT-SRV-039,bmc,A0:36:9F:F1:02:00,1000base-t,BMC Management Interface
DC-Center,CENT-R03,CENT-SRV-039,ens1f0,3C:FD:FE:F1:02:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-Center,CENT-R03,CENT-SRV-039,ens2f0,3C:FD:FE:F1:02:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-Center,CENT-R03,CENT-SRV-039,mgmt0,A0:36:9F:D9:06:00,1000base-t,Management Interface (PCI Card)
DC-Center,CENT-R03,CENT-SRV-040,bmc,A0:36:9F:F2:02:00,1000base-t,BMC Management Interface
DC-Center,CENT-R03,CENT-SRV-040,ens1f0,3C:FD:FE:F2:02:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-Center,CENT-R03,CENT-SRV-040,ens2f0,3C:FD:FE:F2:02:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-Center,CENT-R03,CENT-SRV-040,mgmt0,A0:36:9F:DA:06:00,1000base-t,Management Interface (PCI Card)
DC-Center,CENT-R03,CENT-SRV-041,bmc,A0:36:9F:F3:02:00,1000base-t,BMC Management Interface
DC-Center,CENT-R03,CENT-SRV-041,ens1f0,3C:FD:FE:F3:02:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-Center,CENT-R03,CENT-SRV-041,ens2f0,3C:FD:FE:F3:02:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-Center,CENT-R03,CENT-SRV-041,mgmt0,A0:36:9F:DB:06:00,1000base-t,Management Interface (PCI Card)
DC-Center,CENT-R03,CENT-SRV-042,bmc,A0:36:9F:F4:02:00,1000base-t,BMC Management Interface
DC-Center,CENT-R03,CENT-SRV-042,ens1f0,3C:FD:FE:F4:02:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-Center,CENT-R03,CENT-SRV-042,ens2f0,3C:FD:FE:F4:02:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-Center,CENT-R03,CENT-SRV-042,mgmt0,A0:36:9F:DC:06:00,1000base-t,Management Interface (PCI Card)
DC-Center,CENT-R03,CENT-SRV-043,bmc,A0:36:9F:F5:02:00,1000base-t,BMC Management Interface
DC-Center,CENT-R03,CENT-SRV-043,ens1f0,3C:FD:FE:F5:02:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-Center,CENT-R03,CENT-SRV-043,ens2f0,3C:FD:FE:F5:02:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-Center,CENT-R03,CENT-SRV-043,mgmt0,A0:36:9F:DD:06:00,1000base-t,Management Interface (PCI Card)
DC-Center,CENT-R03,CENT-SRV-044,bmc,A0:36:9F:F6:02:00,1000base-t,BMC Management Interface
DC-Center,CENT-R03,CENT-SRV-044,ens1f0,3C:FD:FE:F6:02:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-Center,CENT-R03,CENT-SRV-044,ens2f0,3C:FD:FE:F6:02:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-Center,CENT-R03,CENT-SRV-044,mgmt0,A0:36:9F:DE:06:00,1000base-t,Management Interface (PCI Card)
DC-Center,CENT-R03,CENT-SRV-045,bmc,A0:36:9F:F7:02:00,1000base-t,BMC Management Interface
DC-Center,CENT-R03,CENT-SRV-045,ens1f0,3C:FD:FE:F7:02:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-Center,CENT-R03,CENT-SRV-045,ens2f0,3C:FD:FE:F7:02:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-Center,CENT-R03,CENT-SRV-045,mgmt0,A0:36:9F:DF:06:00,1000base-t,Management Interface (PCI Card)
DC-Center,CENT-R03,CENT-SRV-046,bmc,A0:36:9F:F8:02:00,1000base-t,BMC Management Interface
DC-Center,CENT-R03,CENT-SRV-046,ens1f0,3C:FD:FE:F8:02:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-Center,CENT-R03,CENT-SRV-046,ens2f0,3C:FD:FE:F8:02:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-Center,CENT-R03,CENT-SRV-046,mgmt0,A0:36:9F:E0:06:00,1000base-t,Management Interface (PCI Card)
DC-Center,CENT-R03,CENT-SRV-047,bmc,A0:36:9F:F9:02:00,1000base-t,BMC Management Interface
DC-Center,CENT-R03,CENT-SRV-047,ens1f0,3C:FD:FE:F9:02:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-Center,CENT-R03,CENT-SRV-047,ens2f0,3C:FD:FE:F9:02:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-Center,CENT-R03,CENT-SRV-047,mgmt0,A0:36:9F:E1:06:00,1000base-t,Management Interface (PCI Card)
DC-Center,CENT-R03,CENT-SRV-048,bmc,A0:36:9F:FA:02:00,1000base-t,BMC Management Interface
DC-Center,CENT-R03,CENT-SRV-048,ens1f0,3C:FD:FE:FA:02:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-Center,CENT-R03,CENT-SRV-048,ens2f0,3C:FD:FE:FA:02:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-Center,CENT-R03,CENT-SRV-048,mgmt0,A0:36:9F:E2:06:00,1000base-t,Management Interface (PCI Card)
DC-Center,CENT-R03,CENT-SRV-049,bmc,A0:36:9F:FB:02:00,1000base-t,BMC Management Interface
DC-Center,CENT-R03,CENT-SRV-049,ens1f0,3C:FD:FE:FB:02:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-Center,CENT-R03,CENT-SRV-049,ens2f0,3C:FD:FE:FB:02:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-Center,CENT-R03,CENT-SRV-049,mgmt0,A0:36:9F:E3:06:00,1000base-t,Management Interface (PCI Card)
DC-Center,CENT-R03,CENT-SRV-050,bmc,A0:36:9F:FC:02:00,1000base-t,BMC Management Interface
DC-Center,CENT-R03,CENT-SRV-050,ens1f0,3C:FD:FE:FC:02:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-Center,CENT-R03,CENT-SRV-050,ens2f0,3C:FD:FE:FC:02:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-Center,CENT-R03,CENT-SRV-050,mgmt0,A0:36:9F:E4:06:00,1000base-t,Management Interface (PCI Card)
DC-Center,CENT-R03,CENT-SRV-051,bmc,A0:36:9F:FD:02:00,1000base-t,BMC Management Interface
DC-Center,CENT-R03,CENT-SRV-051,ens1f0,3C:FD:FE:FD:02:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-Center,CENT-R03,CENT-SRV-051,ens2f0,3C:FD:FE:FD:02:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-Center,CENT-R03,CENT-SRV-051,mgmt0,A0:36:9F:E5:06:00,1000base-t,Management Interface (PCI Card)
DC-Center,CENT-R04,CENT-SRV-052,bmc,A0:36:9F:03:03:00,1000base-t,BMC Management Interface
DC-Center,CENT-R04,CENT-SRV-052,ens1f0,3C:FD:FE:03:03:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-Center,CENT-R04,CENT-SRV-052,ens2f0,3C:FD:FE:03:03:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-Center,CENT-R04,CENT-SRV-052,mgmt0,A0:36:9F:EB:06:00,1000base-t,Management Interface (PCI Card)
DC-Center,CENT-R04,CENT-SRV-053,bmc,A0:36:9F:04:03:00,1000base-t,BMC Management Interface
DC-Center,CENT-R04,CENT-SRV-053,ens1f0,3C:FD:FE:04:03:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-Center,CENT-R04,CENT-SRV-053,ens2f0,3C:FD:FE:04:03:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-Center,CENT-R04,CENT-SRV-053,mgmt0,A0:36:9F:EC:06:00,1000base-t,Management Interface (PCI Card)
DC-Center,CENT-R04,CENT-SRV-054,bmc,A0:36:9F:05:03:00,1000base-t,BMC Management Interface
DC-Center,CENT-R04,CENT-SRV-054,ens1f0,3C:FD:FE:05:03:01,25gbase-x-sfp28,Production Network SFP Interface 1
